Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Azerbaijan,AZE,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.688172102,,3.743315458,,4.255319118,,6.349206448,10.58201027,10.34482765,15.60975647,12.68292713,11.1650486,10.67961121,9.090909004,6.666666508,9.478672981,11.84834099,16.587677,14.90384579,16.66666603,19.52380943,17.61904716,21.4285717,22.8571434,15.23809528,21.4285717,16.98113251
Burundi,BDI,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.64516068,,32.62031937,,26.06382942,,29.10052872,21.69312096,16.74876785,18.04878044,12.19512177,9.223300934,13.10679626,11.48325348,11.4285717,8.530805588,0.947867274,1.895734549,8.17307663,8.095237732,10,8.571428299,5.238095284,4.761904716,3.809523821,2.857142925,4.245283127
Belgium,BEL,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.70967865,,87.16577911,,90.42552948,,89.94709015,89.41799164,90.14778137,90.24390411,88.78048706,90.29125977,90.77669525,90.90908813,90,90.52132416,91.4691925,90.99526215,91.34615326,90.95237732,91.90476227,89.52381134,89.52381134,89.52381134,90,89.52381134,89.62264252
Benin,BEN,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.94623566,,33.68983841,,31.38297844,,26.98412704,35.97883606,33.99014664,20.48780441,34.14634323,37.86407852,36.89320374,29.66507149,29.52380943,33.175354,20.37914658,24.64455032,29.80769157,34.2857132,35.23809433,33.80952454,41.42856979,41.90476227,54.76190567,49.04761887,50.47169876
Burkina Faso,BFA,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.21505356,,57.75400925,,60.10638428,,59.7883606,55.02645493,51.23152542,53.658535,44.87804794,47.57281494,46.11650467,44.97607803,44.2857132,43.12796021,38.3886261,36.4928894,38.94230652,47.61904907,52.38095093,51.90476227,52.8571434,48.57143021,50.47618866,50.47618866,51.88679123
Bangladesh,BGD,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.74193573,,28.87700462,,6.914893627,,1.587301612,0.529100537,0.985221684,2.926829338,2.926829338,13.5922327,15.04854393,14.83253574,14.76190472,13.74407578,20.85308075,21.32701492,18.75,21.90476227,18.5714283,18.5714283,17.1428566,16.19047546,17.1428566,18.09523773,15.56603813
Bulgaria,BGR,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.62365723,,50.80213928,,51.06383133,,51.32275009,56.61375809,57.1428566,56.5853653,53.658535,50.97087479,48.54368973,50.71770477,51.90476227,50.23696518,48.81516647,45.97156525,47.59615326,45.23809433,47.61904907,49.52381134,49.04761887,49.52381134,44.2857132,48.09523773,50
Bahrain,BHR,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.97849274,,62.03208542,,66.48936462,,77.77777863,69.31217194,69.950737,66.82926941,60.48780441,61.16504669,62.62136078,63.63636398,62.38095093,63.5071106,67.77251434,68.2464447,62.98077011,59.04761887,55.7142868,50.47618866,50,53.80952454,51.90476227,58.57143021,59.43396378
"Bahamas, The",BHS,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.87096405,,85.56150055,,86.17021179,,89.41799164,89.94709015,91.62561798,89.26829529,90.24390411,89.32038879,89.32038879,88.99521637,88.57142639,89.09952545,87.67772675,88.62559509,88.94230652,81.90476227,80.95237732,82.85713959,82.38095093,82.38095093,82.85713959,83.80952454,84.43395996
Bosnia and Herzegovina,BIH,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.92473221,,42.24599075,,35.10638428,,43.38624191,47.08994675,43.84236526,49.26829147,45.85365677,43.68931961,42.23300934,43.06220245,46.19047546,46.44549942,46.91942978,50.71089935,48.07692337,42.38095093,37.1428566,36.19047546,30.95238113,29.04761887,28.5714283,28.09523773,25.94339561
